,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
32,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,0_SALARY
33,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,0_SALARY
34,Very_high_sat,High_grade,4_NP,"[226,247]_H",6_T,0_ACC,1_L,0_PR,hr_SALES,0_SALARY
35,Very_low_sat,Very_high_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
36,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
37,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
38,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
39,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
40,Very_high_sat,High_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
41,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
42,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
43,Very_low_sat,High_grade,7_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
44,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
45,Very_high_sat,High_grade,3_NP,"[162,182]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
46,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
47,Medium_sat,High_grade,3_NP,"[270,289]_H",6_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
48,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
49,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
50,Very_low_sat,High_grade,6_NP,"[140,161]_H",2_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
51,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
52,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
53,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
54,Very_low_sat,Very_high_grade,7_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
55,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
56,Very_low_sat,Very_high_grade,7_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
57,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
58,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
59,Very_high_sat,Very_high_grade,4_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
60,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,management_SALES,1_SALARY
61,Very_low_sat,Very_high_grade,7_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,IT_SALES,1_SALARY
62,Very_low_sat,Very_high_grade,6_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,IT_SALES,1_SALARY
63,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,1_SALARY
64,Very_low_sat,Very_high_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,IT_SALES,1_SALARY
65,Very_high_sat,High_grade,6_NP,"[140,161]_H",4_T,0_ACC,1_L,0_PR,IT_SALES,1_SALARY
66,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
67,Very_high_sat,Very_high_grade,4_NP,"[248,269]_H",6_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
68,High_sat,High_grade,5_NP,"[183,225]_H",5_T,1_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
69,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
70,High_sat,Very_high_grade,2_NP,"[270,289]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,1_SALARY
71,Very_low_sat,High_grade,5_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
72,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,product_mng_SALES,2_SALARY
73,Very_low_sat,High_grade,7_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
74,Very_low_sat,Very_high_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
75,Very_low_sat,High_grade,7_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
76,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,product_mng_SALES,1_SALARY
77,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,marketing_SALES,1_SALARY
78,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
79,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,accounting_SALES,0_SALARY
80,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
81,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
82,High_sat,Medium_grade,4_NP,"[119,140]_H",3_T,0_ACC,1_L,1_PR,management_SALES,0_SALARY
83,Very_high_sat,High_grade,4_NP,"[248,269]_H",6_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
84,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
85,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
86,Very_low_sat,High_grade,5_NP,"[226,247]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
87,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
88,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
89,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
90,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
91,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
92,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
93,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
94,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
95,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
96,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
97,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
98,Very_low_sat,Very_high_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
99,Very_high_sat,Very_high_grade,5_NP,"[183,225]_H",6_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
100,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
101,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
102,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
103,Very_low_sat,Very_high_grade,7_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
104,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
105,Very_low_sat,Low_grade,7_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,accounting_SALES,1_SALARY
106,Very_high_sat,Very_high_grade,4_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,accounting_SALES,1_SALARY
107,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,accounting_SALES,1_SALARY
108,High_sat,High_grade,3_NP,"[162,182]_H",4_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
109,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
110,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
111,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,hr_SALES,2_SALARY
112,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
113,Very_high_sat,Very_high_grade,4_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
114,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
115,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
116,Very_high_sat,High_grade,5_NP,"[248,269]_H",2_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
117,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
118,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
119,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
120,Very_low_sat,Medium_grade,4_NP,"[140,161]_H",4_T,1_ACC,1_L,0_PR,technical_SALES,0_SALARY
121,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
122,High_sat,Very_high_grade,4_NP,"[183,225]_H",6_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
123,Very_low_sat,High_grade,6_NP,"[290,311]_H",5_T,1_ACC,1_L,0_PR,support_SALES,0_SALARY
124,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
125,Very_low_sat,Very_high_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
126,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
127,High_sat,High_grade,3_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
128,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
129,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
130,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
131,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
132,Very_high_sat,Very_high_grade,5_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
133,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
134,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
135,Low_sat,High_grade,7_NP,"[119,140]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
136,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,1_ACC,1_L,0_PR,technical_SALES,0_SALARY
137,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,management_SALES,0_SALARY
138,High_sat,Very_high_grade,4_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
139,High_sat,High_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
140,Very_low_sat,Very_high_grade,6_NP,"[226,247]_H",4_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
141,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
142,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
143,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
144,Very_high_sat,Very_high_grade,4_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
145,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
146,High_sat,Very_high_grade,4_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
147,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
148,Very_high_sat,High_grade,4_NP,"[248,269]_H",5_T,1_ACC,1_L,0_PR,marketing_SALES,0_SALARY
149,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
150,Very_low_sat,Very_high_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
151,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
152,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
153,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
154,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
155,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,accounting_SALES,0_SALARY
156,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
157,Very_low_sat,Very_high_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
158,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,management_SALES,0_SALARY
159,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
160,Very_low_sat,Very_high_grade,7_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
161,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",6_T,0_ACC,1_L,0_PR,marketing_SALES,0_SALARY
162,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
163,High_sat,High_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
164,Very_high_sat,Very_high_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
165,Very_low_sat,High_grade,7_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
166,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
167,Low_sat,Medium_grade,5_NP,"[119,140]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
168,Low_sat,Low_grade,2_NP,"[119,140]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
169,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
170,Very_high_sat,Very_high_grade,4_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
171,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,1_PR,sales_SALES,0_SALARY
172,Very_low_sat,High_grade,7_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
173,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
174,High_sat,Medium_grade,2_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
175,Medium_sat,High_grade,4_NP,"[162,182]_H",2_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
176,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
177,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
178,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
179,Very_low_sat,High_grade,6_NP,"[290,311]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
180,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
181,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,accounting_SALES,1_SALARY
182,Very_high_sat,Very_high_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,accounting_SALES,1_SALARY
183,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,accounting_SALES,1_SALARY
184,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
185,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
186,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
187,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,1_SALARY
188,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
189,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,2_SALARY
190,Very_low_sat,High_grade,7_NP,"[270,289]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
191,Very_high_sat,High_grade,4_NP,"[226,247]_H",6_T,1_ACC,1_L,0_PR,technical_SALES,1_SALARY
192,High_sat,Very_high_grade,4_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
193,Very_low_sat,High_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
194,Very_high_sat,Very_high_grade,4_NP,"[270,289]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,1_SALARY
195,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
196,Low_sat,Medium_grade,7_NP,"[270,289]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
197,Very_low_sat,Very_high_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
198,Very_low_sat,High_grade,7_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
199,High_sat,Very_high_grade,5_NP,"[226,247]_H",6_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
200,Very_high_sat,High_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
201,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
202,High_sat,Very_high_grade,5_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
203,Very_low_sat,Very_high_grade,6_NP,"[248,269]_H",4_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
204,Very_high_sat,Very_high_grade,5_NP,"[248,269]_H",6_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
205,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
206,High_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
207,High_sat,High_grade,4_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
208,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
209,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,support_SALES,0_SALARY
210,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
211,Low_sat,Low_grade,4_NP,"[290,311]_H",3_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
212,Very_high_sat,Very_high_grade,5_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,technical_SALES,0_SALARY
213,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,management_SALES,0_SALARY
214,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
215,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
216,Low_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
217,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
218,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,IT_SALES,0_SALARY
219,Very_high_sat,High_grade,5_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
220,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
221,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,product_mng_SALES,0_SALARY
